1,Syria,1,56
2,Israel,1,34
3,Spain,2,30
4,Jordan,1,56
5,Egypt,1,56
6,United Kingdom,2,25
9,Singapore,2,30
10,Canada,3,21
11,Middle East,1,22
12,Russia,2,30
13,Central Asia,2,10
14,Morocco,1,43
16,Mongolia,2,56
17,Pakistan,2,10
18,India,2,43
19,Bhutan,2,43
20,China,2,10
21,Tibet,2,10
22,Trans Siberian,2,10
23,Myanmar,2,10
25,Thailand,2,30
26,Malaysia,2,43
27,Maldives,1,30
28,Cuba,3,51
29,Other,2,38
30,Iran,2,10
31,Nepal,2,10
33,Oman,1,30
34,Indonesia,2,29
35,Cambodia,2,10
36,Vietnam,2,10
37,Laos,2,34
38,Poland,2,21
39,Hong Kong,2,10
41,Dubai,1,30
42,Philippines,2,10
43,Sri Lanka,2,30
44,Sheila Paine Tours,NULL,10
45,Yemen,1,10
46,Lebanon,1,56
47,Borneo,2,29
48,Kenya,1,47
49,Botswana,1,47
50,Zimbabwe,1,15
51,Namibia,1,47
52,Seychelles,1,27
53,Tanzania,1,27
54,Mauritius,1,27
55,Mozambique,1,15
57,South Africa,1,41
59,Madagascar,1,27
60,Uganda,1,48
61,Zambia,1,15
62,Malawi,1,27
63,General,2,50
64,Zanzibar,1,27
65,Islands only,NULL,15
66,Indian Ocean Islands,1,15
105,Australia,2,29
106,South America,3,25
111,USA,3,29
115,Bolivia,3,25
116,Ukraine,2,10
117,Argentina,3,51
120,Borneo/Indonesia,2,29
121,Kazakhstan,2,10
130,Dominica,3,29
135,Hawaii,3,29
136,Georgia,2,10
137,Brazil,3,25
141,Puerto Rico,3,25
142,French Guiana,3,25
147,Suriname,3,25
156,Uzbekistan,2,10
160,Peru,3,25
161,Kyrghyzstan,2,10
166,Turkmenistan,2,10
171,Azerbaijan,2,10
172,Colombia,3,25
176,Tajikistan,2,10
177,Guyana,3,25
182,Venezuela,3,25
195,Caribbean,3,29
205,Sumatra,3,29
207,Antarctica,3,51
217,Gobi Desert,2,56
230,Mali,1,34
232,Ivory Coast,1,34
272,Gabon,1,34
282,Tobago,3,25
287,Libya,1,21
302,Barbados,3,25
307,Curacao,NULL,25
312,Rwanda,1,48
332,Armenia,2,10
342,Ethiopia,1,34
347,Patagonia,3,25
352,Falkland Islands,3,25
362,Niger,1,34
372,Congo,1,34
377,New Zealand,2,15
382,Finlandia,2,56
387,Costa Rica,3,62
392,Bonaire,3,25
397,Central America,3,25
402,Mexico,3,51
412,Belize,3,62
417,Guatemala,3,62
422,Honduras,3,62
427,Nicaragua,3,62
432,Panama,3,62
437,Latin America,3,25
442,France,2,15
447,Corsica,2,15
452,Italy,2,15
457,Sardinia,2,15
462,Iceland,2,21
467,Norway,2,52
472,Tonga,2,29
477,Slovakia,2,21
482,Alaska,3,29
487,Sao Tome & Principe,1,34
492,Malta,2,30
497,Estonia,2,10
502,Azores,2,29
507,Sweden,2,21
510,Chile,3,51
512,Tahiti,3,25
520,Paraguay,3,25
522,Ecuador,3,25
525,Uruguay,3,25
527,Galapagos,3,25
542,Europe,2,21
547,Trans Mongolian,2,56
550,Aruba,3,25
551,Trinidad,3,25
552,Cameroon,1,34
553,CAR,1,34
554,El Salvador,3,NULL
555,Africa,1,NULL
556,Arctic,2,NULL
557,Korea,2,NULL
558,North Korea,2,NULL
559,Ghana,1,NULL
560,Borneo/Sabah,2,NULL
561,Slovenia,2,NULL
562,Abu Dhabi,1,NULL
563,Burkina Faso,1,NULL
564,Benin,1,NULL
566,Bahrain,1,NULL
567,Montenegro,2,NULL
568,Brunei,2,NULL
569,Tunisia,1,NULL
570,Japan,2,NULL
571,Sudan,1,NULL
572,DRC (Congo),1,NULL
573,Papua New Guinea,2,NULL
574,Greenland,2,NULL
575,Qatar,1,NULL
576,Spitsbergen,2,NULL
578,Lapland,2,NULL
579,St Lucia,3,NULL
580,Romania,2,NULL
581,Kamchatka,2,NULL
582,Togo & Benin,1,NULL
583,Turkey,1,NULL
584,Amazon,3,NULL
585,The Black Sea,2,NULL
586,Non specified,2,NULL
587,Algeria,1,NULL
588,Baja California,3,NULL